small with extra output
2-level
heterogeneous
&& random_tree_1_2000 2562.512447 15720
&& random_tree_2_2000 2162.036456 45317
&& random_tree_3_2000 5184.156397 84970
&& random_tree_4_2000 4552.592169 59837
&& random_tree_5_4000 5761.062211 101408
&& random_tree_6_4000 5227.099594 287999
&& random_tree_7_4000 5130.517753 136883
&& random_tree_8_4000 3676.017258 182833
&& random_tree_9_10000 8501.584463 1431617
&& random_tree_10_10000 9570.126127 483387
&& random_tree_11_20000 13436.117093 1736635
&& random_tree_0_15 3087.868316 50
&& random_tree_0_15 3087.868316 46
homogeneous many small
&& random_tree_1_2000 2562.512447 13336
&& random_tree_2_2000 4776.963676 123399
&& random_tree_3_2000 13480.156397 170396
&& random_tree_4_2000 11848.225608 289757
&& random_tree_5_4000 13339.576913 1174093
&& random_tree_6_4000 11721.125902 2866985
&& random_tree_7_4000 13439.355647 412951
&& random_tree_8_4000 6305.945568 472274
&& random_tree_9_10000 19998.872652 2923335
&& random_tree_10_10000 14321.785773 1849348
&& random_tree_11_20000 17042.763016 13427696
&& random_tree_0_15 3087.868316 51
&& random_tree_0_15 3087.868316 47
homogeneous few big
&& random_tree_1_2000 2562.512447 33043
&& random_tree_2_2000 2162.036456 44417
&& random_tree_3_2000 5184.156397 86590
&& random_tree_4_2000 4552.592169 59520
&& random_tree_5_4000 5761.062211 100443
&& random_tree_6_4000 5227.099594 288698
&& random_tree_7_4000 5130.517753 136685
&& random_tree_8_4000 3676.017258 183216
&& random_tree_9_10000 8501.584463 1429237
&& random_tree_10_10000 9570.126127 483064
&& random_tree_11_20000 13565.789156 989994
&& random_tree_0_15 3087.868316 49
&& random_tree_0_15 3087.868316 46
3-level
heterogeneous
&& random_tree_1_2000 2562.512447 13271
&& random_tree_2_2000 2162.036456 43947
&& random_tree_3_2000 5184.156397 85437
&& random_tree_4_2000 4552.592169 59402
&& random_tree_5_4000 5761.062211 100438
&& random_tree_6_4000 5227.099594 287811
&& random_tree_7_4000 5130.517753 136150
&& random_tree_8_4000 3676.017258 182053
&& random_tree_9_10000 8501.584463 1427239
&& random_tree_10_10000 9570.126127 483210
&& random_tree_11_20000 13436.117093 1740735
&& random_tree_0_15 3087.868316 49
&& random_tree_0_15 3087.868316 46
homogeneous many small
&& random_tree_1_2000 2562.512447 13285
&& random_tree_2_2000 4776.963676 123178
&& random_tree_3_2000 13480.156397 171279
&& random_tree_4_2000 11848.225608 289279
&& random_tree_5_4000 13339.576913 1171388
&& random_tree_6_4000 11721.125902 3032687
&& random_tree_7_4000 13439.355647 414489
&& random_tree_8_4000 6305.945568 514021
&& random_tree_9_10000 19998.872652 2940062
&& random_tree_10_10000 14321.785773 1910126
&& random_tree_11_20000 17042.763016 14114557
&& random_tree_0_15 3087.868316 52
&& random_tree_0_15 3087.868316 48
homogeneous average average
&& random_tree_1_2000 2562.512447 32889
&& random_tree_2_2000 2162.036456 44260
&& random_tree_3_2000 5184.156397 87423
&& random_tree_4_2000 4552.592169 59502
&& random_tree_5_4000 5761.062211 105272
&& random_tree_6_4000 5227.099594 288369
&& random_tree_7_4000 5130.517753 136402
&& random_tree_8_4000 3676.017258 180655
&& random_tree_9_10000 8501.584463 1446574
&& random_tree_10_10000 9570.126127 491342
&& random_tree_11_20000 13565.789156 1002895
&& random_tree_0_15 3087.868316 49
&& random_tree_0_15 3087.868316 46
homogeneous few big
&& random_tree_1_2000 2562.512447 13589
&& random_tree_2_2000 2162.036456 44125
&& random_tree_3_2000 5184.156397 85600
&& random_tree_4_2000 4552.592169 59798
&& random_tree_5_4000 5761.062211 101328
&& random_tree_6_4000 5227.099594 289359
&& random_tree_7_4000 5130.517753 138332
&& random_tree_8_4000 3676.017258 182246
&& random_tree_9_10000 8501.584463 1431782
&& random_tree_10_10000 9570.126127 485134
&& random_tree_11_20000 13646.430491 1946211
&& random_tree_0_15 3087.868316 51
&& random_tree_0_15 3087.868316 46
