small with extra output
2-level
heterogeneous
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 155980.084667 3858209
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 23526.750000 16173514
&& dump.1.4.metis.IPSO.HTC_336_4438-2534.tree.nf 34224.553333 13690551
&& dump.0.1.amd.Bova.rma10-374.tree.nf 353630.502667 2071066
&& dump.0.1.amd.IPSO.HTC_336_4438-2534.tree.nf 39368.832000 276665687
&& dump.0.1.amd.MaxPlanck.shallow_water1-2261.tree.nf 526678.726000 90749337
&& dump.0.1.amd.QY.case39-2136.tree.nf 63170.918000 2198260
&& dump.0.1.amd.TSOPF.TSOPF_RS_b300_c3-2239.tree.nf 998426.022000 24538505
&& dump.0.1.metis.Boeing.ct20stif-356.tree.nf 3163643.826667 3293707
&& dump.0.1.metis.Bova.rma10-374.tree.nf 260724.610000 1294363
&& dump.0.1.metis.CPM.cz40948-2567.tree.nf 961.000667 3937928
&& dump.0.1.metis.DNVS.shipsec5-1280.tree.nf 36960824.831333 64701371
&& dump.0.1.metis.FEMLAB.sme3Dc-932.tree.nf 2697725.978000 2304126
&& dump.0.1.metis.Goodwin.rim-447.tree.nf 45999.924000 718522
&& dump.0.1.metis.HVDC.hvdc2-1875.tree.nf 12367.113333 4063904
&& dump.0.1.metis.Schenk_IBMSDS.matrix_9-959.tree.nf 57422702.432667 109679117
&& dump.0.1.metis.Schmid.thermal1-1402.tree.nf 115710.388667 49682865
&& dump.0.1.metis.Shyy.shyy161-809.tree.nf 159802.266667 52720857
&& dump.0.1.metis.Wang.wang4-833.tree.nf 2117447.601333 6089978
&& dump.0.1.metis.Watson.Baumann-1855.tree.nf 6780649.463333 116448970
&& dump.1.1.amd.QY.case39-2136.tree.nf 85919.838000 1604225
&& dump.1.1.metis.CPM.cz40948-2567.tree.nf 979.670000 1943321
&& dump.1.1.metis.IPSO.HTC_336_4438-2534.tree.nf 21387.772000 21884954
&& dump.1.2.amd.QY.case39-2136.tree.nf 87017.080000 1234051
&& dump.1.3.amd.QY.case39-2136.tree.nf 89094.240000 889185
&& dump.1.3.metis.Schenk_IBMNA.c-big-1579.tree.nf 65542413.877334 32614287
&& dump.1.4.metis.Schenk_IBMNA.c-big-1579.tree.nf 66602349.166668 6550940
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf 161373.810000 5578703
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf 161373.810000 5606158
homogeneous many small
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 243596.084667 3808453
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 36751.838000 23588513
&& dump.1.4.metis.IPSO.HTC_336_4438-2534.tree.nf 34224.553333 11063647
&& dump.0.1.amd.Bova.rma10-374.tree.nf 353630.502667 2365510
&& dump.0.1.amd.IPSO.HTC_336_4438-2534.tree.nf 68934.388000 292248211
&& dump.0.1.amd.MaxPlanck.shallow_water1-2261.tree.nf 1045419.346000 92293481
&& dump.0.1.amd.QY.case39-2136.tree.nf 123372.206667 2578796
&& dump.0.1.amd.TSOPF.TSOPF_RS_b300_c3-2239.tree.nf 998426.022000 29003725
&& dump.0.1.metis.Boeing.ct20stif-356.tree.nf 3163643.826667 3520573
&& dump.0.1.metis.Bova.rma10-374.tree.nf 260724.610000 1363088
&& dump.0.1.metis.CPM.cz40948-2567.tree.nf 2476.132000 4158611
&& dump.0.1.metis.DNVS.shipsec5-1280.tree.nf 36960824.831333 65973023
&& dump.0.1.metis.FEMLAB.sme3Dc-932.tree.nf 2697725.978000 2476459
&& dump.0.1.metis.Goodwin.rim-447.tree.nf 81213.850000 742060
&& dump.0.1.metis.HVDC.hvdc2-1875.tree.nf 20467.113333 4658207
&& dump.0.1.metis.Schenk_IBMSDS.matrix_9-959.tree.nf 65898851.518667 114298266
&& dump.0.1.metis.Schmid.thermal1-1402.tree.nf 130351.389333 50295322
&& dump.0.1.metis.Shyy.shyy161-809.tree.nf 185402.266667 52076886
&& dump.0.1.metis.Wang.wang4-833.tree.nf 2117447.601333 6193509
&& dump.0.1.metis.Watson.Baumann-1855.tree.nf 8017193.463333 116446205
&& dump.1.1.amd.QY.case39-2136.tree.nf 166688.434667 1690600
&& dump.1.1.metis.CPM.cz40948-2567.tree.nf 3388.499333 2097448
&& dump.1.1.metis.IPSO.HTC_336_4438-2534.tree.nf 21387.772000 22091289
&& dump.1.2.amd.QY.case39-2136.tree.nf 169211.680667 1243891
&& dump.1.3.amd.QY.case39-2136.tree.nf 174344.454667 945002
&& dump.1.3.metis.Schenk_IBMNA.c-big-1579.tree.nf 65542413.877334 36675713
&& dump.1.4.metis.Schenk_IBMNA.c-big-1579.tree.nf 66602349.166668 6713911
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf -1.000000 219526
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf -1.000000 253582
homogeneous few big
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 155980.084667 3858292
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 23527.738000 15970389
&& dump.1.4.metis.IPSO.HTC_336_4438-2534.tree.nf 34231.978000 14165518
