small with extra output
2-level
heterogeneous
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 161696.385333 30617063
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 23530.580667 118803887
&& dump.1.4.metis.IPSO.HTC_336_4438-2534.tree.nf 34628.722667 80677698
&& dump.0.1.amd.Bova.rma10-374.tree.nf 389872.153333 8283439
&& dump.0.1.amd.IPSO.HTC_336_4438-2534.tree.nf 39368.832000 2451008921
&& dump.0.1.amd.MaxPlanck.shallow_water1-2261.tree.nf 532136.757333 638814456
&& dump.0.1.amd.QY.case39-2136.tree.nf 63170.918000 14419697
&& dump.0.1.amd.TSOPF.TSOPF_RS_b300_c3-2239.tree.nf 998426.022000 118933965
&& dump.0.1.metis.Boeing.ct20stif-356.tree.nf 3163643.826667 15703802
&& dump.0.1.metis.Bova.rma10-374.tree.nf 260724.610000 6821412
&& dump.0.1.metis.CPM.cz40948-2567.tree.nf 1686.221333 27788367
&& dump.0.1.metis.DNVS.shipsec5-1280.tree.nf 36960824.831333 288114624
&& dump.0.1.metis.FEMLAB.sme3Dc-932.tree.nf 2697725.978000 9474163
&& dump.0.1.metis.Goodwin.rim-447.tree.nf 45999.924000 4501802
&& dump.0.1.metis.HVDC.hvdc2-1875.tree.nf 12367.174667 32993777
&& dump.0.1.metis.Schenk_IBMSDS.matrix_9-959.tree.nf 57422702.432667 610201387
&& dump.0.1.metis.Schmid.thermal1-1402.tree.nf 115710.388667 308057221
&& dump.0.1.metis.Shyy.shyy161-809.tree.nf 159802.266667 315960298
&& dump.0.1.metis.Wang.wang4-833.tree.nf 2117447.601333 30746061
&& dump.0.1.metis.Watson.Baumann-1855.tree.nf 6780649.463333 757347228
&& dump.1.1.amd.QY.case39-2136.tree.nf 85919.838000 11417814
&& dump.1.1.metis.CPM.cz40948-2567.tree.nf 1721.713333 13806066
&& dump.1.1.metis.IPSO.HTC_336_4438-2534.tree.nf 21389.586000 115119312
&& dump.1.2.amd.QY.case39-2136.tree.nf 87017.080000 8764420
&& dump.1.3.amd.QY.case39-2136.tree.nf 89094.240000 6218995
&& dump.1.3.metis.Schenk_IBMNA.c-big-1579.tree.nf 65542449.327334 200034577
&& dump.1.4.metis.Schenk_IBMNA.c-big-1579.tree.nf 66602516.889334 36783908
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf 161373.822000 37045345
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf 161373.822000 37065604
homogeneous many small
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 253232.575333 25435417
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 40088.505333 122244997
&& dump.1.4.metis.IPSO.HTC_336_4438-2534.tree.nf 34628.722667 67148159
&& dump.0.1.amd.Bova.rma10-374.tree.nf 389872.153333 8281613
&& dump.0.1.amd.IPSO.HTC_336_4438-2534.tree.nf 68934.388000 2393673091
&& dump.0.1.amd.MaxPlanck.shallow_water1-2261.tree.nf 1056787.246000 681376328
&& dump.0.1.amd.QY.case39-2136.tree.nf 123372.206667 17031468
&& dump.0.1.amd.TSOPF.TSOPF_RS_b300_c3-2239.tree.nf 998426.022000 154858573
&& dump.0.1.metis.Boeing.ct20stif-356.tree.nf 3163643.826667 16927789
&& dump.0.1.metis.Bova.rma10-374.tree.nf 260724.610000 7240084
&& dump.0.1.metis.CPM.cz40948-2567.tree.nf 5150.659333 9986261
&& dump.0.1.metis.DNVS.shipsec5-1280.tree.nf 36960824.831333 298482832
&& dump.0.1.metis.FEMLAB.sme3Dc-932.tree.nf 2697725.978000 10609598
&& dump.0.1.metis.Goodwin.rim-447.tree.nf 92857.288000 4210788
&& dump.0.1.metis.HVDC.hvdc2-1875.tree.nf 20467.174667 64929183
&& dump.0.1.metis.Schenk_IBMSDS.matrix_9-959.tree.nf 65898851.518667 647127400
&& dump.0.1.metis.Schmid.thermal1-1402.tree.nf 130351.389333 305462773
&& dump.0.1.metis.Shyy.shyy161-809.tree.nf 185402.266667 314046283
&& dump.0.1.metis.Wang.wang4-833.tree.nf 2117447.601333 31317843
&& dump.0.1.metis.Watson.Baumann-1855.tree.nf 8017193.463333 748928785
&& dump.1.1.amd.QY.case39-2136.tree.nf 166688.434667 12419849
&& dump.1.1.metis.CPM.cz40948-2567.tree.nf 5096.825333 5219579
&& dump.1.1.metis.IPSO.HTC_336_4438-2534.tree.nf 21389.586000 115886285
&& dump.1.2.amd.QY.case39-2136.tree.nf 169211.680667 8875157
&& dump.1.3.amd.QY.case39-2136.tree.nf 174344.454667 6812256
&& dump.1.3.metis.Schenk_IBMNA.c-big-1579.tree.nf 65542449.327334 204280099
&& dump.1.4.metis.Schenk_IBMNA.c-big-1579.tree.nf 66602516.889334 37567170
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf -1.000000 1529698
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf -1.000000 1536496
homogeneous few big
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 179404.293333 25374551
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 28325.040000 82390561
