small with extra output
2-level
heterogeneous
./real_Trees/trees/
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 75658.751333 27620565
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 12527.265333 99822600
&& dump.1.4.metis.IPSO.HTC_336_4438-2534.tree.nf 21127.459333 136440023
&& dump.0.1.amd.Bova.rma10-374.tree.nf 298962.880667 12906155
&& dump.0.1.amd.IPSO.HTC_336_4438-2534.tree.nf 31580.266667 1611695780
&& dump.0.1.amd.MaxPlanck.shallow_water1-2261.tree.nf 269961.478000 566445389
&& dump.0.1.amd.QY.case39-2136.tree.nf 59630.918000 14543616
&& dump.0.1.amd.TSOPF.TSOPF_RS_b300_c3-2239.tree.nf 979125.799333 127896341
&& dump.0.1.metis.Boeing.ct20stif-356.tree.nf 1409203.080000 17946874
&& dump.0.1.metis.Bova.rma10-374.tree.nf 141824.614000 11708789
&& dump.0.1.metis.CPM.cz40948-2567.tree.nf 722.403333 75298677
&& dump.0.1.metis.DNVS.shipsec5-1280.tree.nf 30323714.231333 329116025
&& dump.0.1.metis.FEMLAB.sme3Dc-932.tree.nf 1440841.808000 10815241
&& dump.0.1.metis.Goodwin.rim-447.tree.nf 21973.180000 10877615
&& dump.0.1.metis.HVDC.hvdc2-1875.tree.nf 7321.889333 25871559
&& dump.0.1.metis.Schenk_IBMSDS.matrix_9-959.tree.nf 32357496.404000 608969656
&& dump.0.1.metis.Schmid.thermal1-1402.tree.nf 67891.548000 315108987
&& dump.0.1.metis.Shyy.shyy161-809.tree.nf 62745.840667 326651442
&& dump.0.1.metis.Wang.wang4-833.tree.nf 951183.281333 33272226
&& dump.0.1.metis.Watson.Baumann-1855.tree.nf 4046166.659333 639120956
&& dump.1.1.amd.QY.case39-2136.tree.nf 82379.838000 12672249
&& dump.1.1.metis.CPM.cz40948-2567.tree.nf 758.420000 41579627
&& dump.1.1.metis.IPSO.HTC_336_4438-2534.tree.nf 11061.585333 129699513
&& dump.1.2.amd.QY.case39-2136.tree.nf 83477.080000 9491150
&& dump.1.3.amd.QY.case39-2136.tree.nf 85554.240000 6946361
&& dump.1.3.metis.Schenk_IBMNA.c-big-1579.tree.nf 57363582.144001 235547277
&& dump.1.4.metis.Schenk_IBMNA.c-big-1579.tree.nf 58423517.433334 51765294
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf 107719.872667 38876272
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf 107719.872667 38887545
homogeneous many small
./real_Trees/trees/
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 73107.884000 27625477
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 9554.846000 197045415
&& dump.1.4.metis.IPSO.HTC_336_4438-2534.tree.nf 21127.459333 135870446
&& dump.0.1.amd.Bova.rma10-374.tree.nf 298962.880667 13258296
&& dump.0.1.amd.IPSO.HTC_336_4438-2534.tree.nf 30415.323333 1811488159
&& dump.0.1.amd.MaxPlanck.shallow_water1-2261.tree.nf 269961.478000 567698953
&& dump.0.1.amd.QY.case39-2136.tree.nf 51267.522000 15948797
&& dump.0.1.amd.TSOPF.TSOPF_RS_b300_c3-2239.tree.nf 979125.799333 129011299
&& dump.0.1.metis.Boeing.ct20stif-356.tree.nf 1409203.080000 18195227
&& dump.0.1.metis.Bova.rma10-374.tree.nf 141824.614000 11782962
&& dump.0.1.metis.CPM.cz40948-2567.tree.nf 691.998000 75326995
&& dump.0.1.metis.DNVS.shipsec5-1280.tree.nf 30323714.231333 325657852
&& dump.0.1.metis.FEMLAB.sme3Dc-932.tree.nf 1440841.808000 11027007
&& dump.0.1.metis.Goodwin.rim-447.tree.nf 22330.780000 10956140
&& dump.0.1.metis.HVDC.hvdc2-1875.tree.nf 7321.889333 25890523
&& dump.0.1.metis.Schenk_IBMSDS.matrix_9-959.tree.nf 32357496.404000 623022051
&& dump.0.1.metis.Schmid.thermal1-1402.tree.nf 46257.154667 316529806
&& dump.0.1.metis.Shyy.shyy161-809.tree.nf 62745.840667 325447755
&& dump.0.1.metis.Wang.wang4-833.tree.nf 951183.281333 33333683
&& dump.0.1.metis.Watson.Baumann-1855.tree.nf 3355130.773333 639138066
&& dump.1.1.amd.QY.case39-2136.tree.nf 71210.925333 13305366
&& dump.1.1.metis.CPM.cz40948-2567.tree.nf 696.602000 41688773
&& dump.1.1.metis.IPSO.HTC_336_4438-2534.tree.nf 11061.585333 129436121
&& dump.1.2.amd.QY.case39-2136.tree.nf 72076.642000 9763117
&& dump.1.3.amd.QY.case39-2136.tree.nf 73689.623333 7046588
&& dump.1.3.metis.Schenk_IBMNA.c-big-1579.tree.nf 57363582.144001 235263077
&& dump.1.4.metis.Schenk_IBMNA.c-big-1579.tree.nf 58423517.433334 51752245
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf 80282.892667 40182613
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf 80282.892667 40236877
homogeneous few big
./real_Trees/trees/
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 78351.628000 27705603
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 12528.879333 100063465
