small with extra output
2-level
heterogeneous
./real_Trees/trees/
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 94372.970667 28284667
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 12983.565333 91771538
&& dump.1.4.metis.IPSO.HTC_336_4438-2534.tree.nf 21583.759333 128917019
&& dump.0.1.amd.Bova.rma10-374.tree.nf 300921.315333 10852460
&& dump.0.1.amd.IPSO.HTC_336_4438-2534.tree.nf 31845.128000 1631217130
&& dump.0.1.amd.MaxPlanck.shallow_water1-2261.tree.nf 301193.091333 574333651
&& dump.0.1.amd.QY.case39-2136.tree.nf 59750.918000 14701957
&& dump.0.1.amd.TSOPF.TSOPF_RS_b300_c3-2239.tree.nf 979760.599333 132371695
&& dump.0.1.metis.Boeing.ct20stif-356.tree.nf 1568334.146000 16090220
&& dump.0.1.metis.Bova.rma10-374.tree.nf 147924.737333 9621180
&& dump.0.1.metis.CPM.cz40948-2567.tree.nf 729.903333 73951783
&& dump.0.1.metis.DNVS.shipsec5-1280.tree.nf 30548701.031333 310953156
&& dump.0.1.metis.FEMLAB.sme3Dc-932.tree.nf 1535770.808000 10549262
&& dump.0.1.metis.Goodwin.rim-447.tree.nf 22933.180000 4464181
&& dump.0.1.metis.HVDC.hvdc2-1875.tree.nf 7673.447333 18096621
&& dump.0.1.metis.Schenk_IBMSDS.matrix_9-959.tree.nf 33130128.566667 615070594
&& dump.0.1.metis.Schmid.thermal1-1402.tree.nf 69827.581333 321998462
&& dump.0.1.metis.Shyy.shyy161-809.tree.nf 79463.375333 331265766
&& dump.0.1.metis.Wang.wang4-833.tree.nf 1033202.000667 33887268
&& dump.0.1.metis.Watson.Baumann-1855.tree.nf 4188314.226000 652147196
&& dump.1.1.amd.QY.case39-2136.tree.nf 82499.838000 12812529
&& dump.1.1.metis.CPM.cz40948-2567.tree.nf 765.920000 40150834
&& dump.1.1.metis.IPSO.HTC_336_4438-2534.tree.nf 11517.885333 125563074
&& dump.1.2.amd.QY.case39-2136.tree.nf 83597.080000 9598799
&& dump.1.3.amd.QY.case39-2136.tree.nf 85674.240000 7037345
&& dump.1.3.metis.Schenk_IBMNA.c-big-1579.tree.nf 57640830.677334 202541809
&& dump.1.4.metis.Schenk_IBMNA.c-big-1579.tree.nf 58700765.966668 44368391
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf 109870.406000 40260354
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf 109870.406000 40271672
homogeneous many small
./real_Trees/trees/
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 81842.362667 28207129
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 13704.015333 133195731
&& dump.1.4.metis.IPSO.HTC_336_4438-2534.tree.nf 21583.759333 125486262
&& dump.0.1.amd.Bova.rma10-374.tree.nf 300921.315333 11060078
&& dump.0.1.amd.IPSO.HTC_336_4438-2534.tree.nf 32720.745333 1696653654
&& dump.0.1.amd.MaxPlanck.shallow_water1-2261.tree.nf 301193.091333 579157242
&& dump.0.1.amd.QY.case39-2136.tree.nf 116532.206667 17297157
&& dump.0.1.amd.TSOPF.TSOPF_RS_b300_c3-2239.tree.nf 979760.599333 130902917
&& dump.0.1.metis.Boeing.ct20stif-356.tree.nf 1568334.146000 16527604
&& dump.0.1.metis.Bova.rma10-374.tree.nf 147924.737333 9744477
&& dump.0.1.metis.CPM.cz40948-2567.tree.nf 2093.697333 76194101
&& dump.0.1.metis.DNVS.shipsec5-1280.tree.nf 30548701.031333 312377602
&& dump.0.1.metis.FEMLAB.sme3Dc-932.tree.nf 1535770.808000 11148721
&& dump.0.1.metis.Goodwin.rim-447.tree.nf 24005.980000 4549420
&& dump.0.1.metis.HVDC.hvdc2-1875.tree.nf 7673.447333 18080162
&& dump.0.1.metis.Schenk_IBMSDS.matrix_9-959.tree.nf 33130128.566667 635553987
&& dump.0.1.metis.Schmid.thermal1-1402.tree.nf 70456.078667 323084182
&& dump.0.1.metis.Shyy.shyy161-809.tree.nf 79463.375333 333180849
&& dump.0.1.metis.Wang.wang4-833.tree.nf 1033202.000667 33846764
&& dump.0.1.metis.Watson.Baumann-1855.tree.nf 3536089.898667 644775713
&& dump.1.1.amd.QY.case39-2136.tree.nf 159848.434667 13845268
&& dump.1.1.metis.CPM.cz40948-2567.tree.nf 2925.037333 40853481
&& dump.1.1.metis.IPSO.HTC_336_4438-2534.tree.nf 11517.885333 124529841
&& dump.1.2.amd.QY.case39-2136.tree.nf 162371.680667 10096548
&& dump.1.3.amd.QY.case39-2136.tree.nf 167504.454667 7275344
&& dump.1.3.metis.Schenk_IBMNA.c-big-1579.tree.nf 57640830.677334 199467985
&& dump.1.4.metis.Schenk_IBMNA.c-big-1579.tree.nf 58700765.966668 44579940
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf -1.000000 41242826
&& dump.0.1.metis.Mancktelow.viscorocks-1879.tree.nf -1.000000 41311943
homogeneous few big
./real_Trees/trees/
&& dump.0.1.amd.Dehghani.light_in_tissue-1873.tree.nf 94372.970667 28112167
&& dump.1.3.metis.IPSO.HTC_336_4438-2534.tree.nf 12985.179333 91858958
