2-level
homogeneous many small
&& tree_15 2245.123210 56
&& ./size_20000/random_tree_1_20000 9366.277677 1142843
&& ./size_20000/random_tree_11_20000 22940.569632 675823
&& ./size_20000/random_tree_0_20000 22268.127657 818605
&& ./size_20000/random_tree_2_20000 6542.582967 874211
&& ./size_20000/random_tree_3_20000 5277.353009 629025
&& ./size_20000/random_tree_4_20000 5958.926822 731674
&& ./size_4000/random_tree_8_4000 13459.480928 418995
&& ./size_4000/random_tree_7_4000 16228.896473 399759
&& ./size_4000/random_tree_6_4000 17996.088581 721235
&& ./size_4000/random_tree_5_4000 34838.782601 506863
&& ./size_10000/random_tree_9_10000 23499.310590 2786022
&& ./size_10000/random_tree_10_10000 20270.564279 1817838
&& ./size_50000/random_tree_13_50000 29197.880525 6581461
&& ./size_50000/random_tree_11_50000 34993.704700 6012384
&& ./size_50000/random_tree_14_50000 8415.434592 5182209
&& ./size_50000/random_tree_10_50000 12635.437033 5727982
&& ./size_50000/random_tree_12_50000 22698.392153 6183212
&& ./size_2000/random_tree_4_2000 26679.991351 171544
&& ./size_2000/random_tree_1_2000 2562.512447 13544
&& ./size_2000/random_tree_2_2000 7966.159868 121749
&& ./size_2000/random_tree_3_2000 16832.205450 165680
&& ./size_30000/random_tree_9_30000 9142.624051 1363532
&& ./size_30000/random_tree_6_30000 17140.096650 3287489
&& ./size_30000/random_tree_5_30000 16949.610386 3178575
&& ./size_30000/random_tree_7_30000 9032.298842 1489755
&& ./size_30000/random_tree_8_30000 12416.026598 1290457
&& ./size_30000/random_tree_8_30000 12416.026598 1287930
2-level
heterogeneous
/work/kulagins/tree-scheduler/real_Trees/random_trees
/work/kulagins/tree-scheduler/real_Trees/random_trees/10_children
blabla
&& size_10000/random_tree_1 8793.493491 352662
&& size_10000/random_tree_2 12010.541734 326065
&& size_10000/random_tree_3 3439.209182 158151
&& size_15000/random_tree_1 18486.593764 643528
&& size_15000/random_tree_2 6189.836883 325930
&& size_15000/random_tree_3 18105.309653 505781
&& size_20000/random_tree_1 9561.692479 832421
&& size_20000/random_tree_2 16356.201945 1292686
&& size_20000/random_tree_3 11635.687670 858531
&& size_25000/random_tree_1 7663.315604 1984968
&& size_25000/random_tree_2 11362.251464 1262523
&& size_25000/random_tree_3 21238.921189 1050348
&& size_5000/random_tree_1 7178.899456 53069
&& size_5000/random_tree_2 5013.587893 78459
&& size_5000/random_tree_3 7190.519630 122182
&& size_5000/random_tree_3 7190.519630 122168
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_large
blabla
&& size_10000/random_tree_1 101690.747507 535181
&& size_10000/random_tree_10 129944.723733 674198
&& size_10000/random_tree_2 159501.260946 614639
&& size_10000/random_tree_3 139022.854149 592984
&& size_10000/random_tree_4 157259.791022 633812
&& size_10000/random_tree_5 115149.331572 694535
&& size_10000/random_tree_6 124336.287877 529829
&& size_10000/random_tree_7 165841.647260 593230
&& size_10000/random_tree_8 153742.393617 613790
&& size_10000/random_tree_9 159110.701777 577736
&& size_2000/random_tree_1 109398.918629 42886
&& size_2000/random_tree_10 62898.651275 27107
&& size_2000/random_tree_2 70128.747163 29956
&& size_2000/random_tree_3 97943.068849 29910
&& size_2000/random_tree_4 102187.803382 28053
&& size_2000/random_tree_5 47287.710782 32009
&& size_2000/random_tree_6 100515.594472 24779
&& size_2000/random_tree_7 104111.139211 35500
&& size_2000/random_tree_8 69036.439333 34594
&& size_2000/random_tree_9 98630.701177 28839
&& size_20000/random_tree_1 179619.450678 2078883
&& size_20000/random_tree_2 193128.621245 2250338
&& size_20000/random_tree_3 241050.726046 2431919
&& size_20000/random_tree_4 155983.968986 2330803
&& size_20000/random_tree_5 180885.606233 2209874
&& size_30000/random_tree_1 332049.627876 5192251
&& size_30000/random_tree_2 268254.708669 4761146
&& size_30000/random_tree_3 303173.277037 5290363
&& size_30000/random_tree_4 238656.326091 4712335
&& size_30000/random_tree_5 290313.321511 5738571
&& size_4000/random_tree_1 125651.613085 103839
&& size_4000/random_tree_10 117325.081200 94579
&& size_4000/random_tree_2 71532.950602 103824
&& size_4000/random_tree_3 100958.618402 114915
&& size_4000/random_tree_4 88627.675326 100536
&& size_4000/random_tree_5 66042.301793 107235
&& size_4000/random_tree_6 122992.408725 114489
&& size_4000/random_tree_7 102573.730156 96248
&& size_4000/random_tree_8 120411.571945 104767
&& size_4000/random_tree_9 98122.463488 128277
&& size_50000/random_tree_1 345513.968673 14454964
&& size_50000/random_tree_2 480333.637330 14082197
&& size_50000/random_tree_3 316296.774393 14535422
&& size_50000/random_tree_4 367624.543138 14448762
&& size_50000/random_tree_5 490315.529045 14014576
&& size_50000/random_tree_5 490315.529045 14018596
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_makespan_weights
blabla
&& size_10000/random_tree_1 33332.999684 334857
&& size_10000/random_tree_10 51015.191898 415648
&& size_10000/random_tree_2 52404.826281 271712
&& size_10000/random_tree_3 47216.256699 1105279
&& size_10000/random_tree_4 21401.721654 599960
&& size_10000/random_tree_5 19841.858736 1390904
&& size_10000/random_tree_6 15742.423375 2176361
&& size_10000/random_tree_7 48322.883854 272959
&& size_10000/random_tree_8 43560.317900 1185800
&& size_10000/random_tree_9 49949.063116 863080
&& size_2000/random_tree_1 33211.271928 33803
&& size_2000/random_tree_10 15520.711752 25697
&& size_2000/random_tree_2 31165.197722 33682
&& size_2000/random_tree_3 45343.357622 35542
&& size_2000/random_tree_4 26909.628824 60799
&& size_2000/random_tree_5 33141.060449 57538
&& size_2000/random_tree_6 34092.952041 74338
&& size_2000/random_tree_7 46978.566464 15475
&& size_2000/random_tree_8 27297.722652 23893
&& size_2000/random_tree_9 32401.321527 37265
&& size_20000/random_tree_1 45616.494060 4321635
&& size_20000/random_tree_2 50651.718847 2448645
&& size_20000/random_tree_3 22105.661348 5590154
&& size_20000/random_tree_4 36957.226963 1432769
&& size_20000/random_tree_5 24421.283284 7337299
&& size_30000/random_tree_1 59459.215234 5256926
&& size_30000/random_tree_2 63699.212632 17382169
&& size_30000/random_tree_3 39573.806589 3566906
&& size_30000/random_tree_4 29095.792088 4574202
&& size_30000/random_tree_5 42102.083078 14003554
&& size_4000/random_tree_1 21109.826776 44109
&& size_4000/random_tree_10 42927.987822 113314
&& size_4000/random_tree_2 44617.859956 95589
&& size_4000/random_tree_3 43577.828840 115390
&& size_4000/random_tree_4 36459.937301 72259
&& size_4000/random_tree_5 31290.648993 157807
&& size_4000/random_tree_6 36805.573232 196653
&& size_4000/random_tree_7 22116.092757 254872
&& size_4000/random_tree_8 27145.256567 200595
&& size_4000/random_tree_9 19351.745565 92177
&& size_50000/random_tree_1 50461.484453 13167819
&& size_50000/random_tree_2 47054.384082 40724755
&& size_50000/random_tree_3 61152.855231 14372977
&& size_50000/random_tree_4 71073.352653 10354509
&& size_50000/random_tree_5 26151.754867 1991565
&& size_50000/random_tree_5 26151.754867 1988411
/work/kulagins/tree-scheduler/real_Trees/random_trees/20_children
blabla
&& size_10000/random_tree_1 8650.175052 290885
&& size_10000/random_tree_2 4739.142335 146222
&& size_10000/random_tree_3 8312.221120 353615
&& size_15000/random_tree_1 5907.498489 367506
&& size_15000/random_tree_2 6332.616574 318270
&& size_15000/random_tree_3 4583.003652 302818
&& size_20000/random_tree_1 10847.896716 521278
&& size_20000/random_tree_2 12094.859017 654952
&& size_20000/random_tree_3 12295.758053 447642
&& size_25000/random_tree_1 5052.187122 973666
&& size_25000/random_tree_2 17927.031396 2112380
&& size_25000/random_tree_3 5225.437465 877168
&& size_5000/random_tree_1 5582.392243 54051
&& size_5000/random_tree_2 6672.672804 77732
&& size_5000/random_tree_3 3838.085817 46946
&& size_5000/random_tree_3 3838.085817 46908
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_small
blabla
&& size_10000/random_tree_1 548.756368 194613
&& size_10000/random_tree_10 437.009173 204188
&& size_10000/random_tree_2 582.903701 192017
&& size_10000/random_tree_3 451.318159 213354
&& size_10000/random_tree_4 721.833985 186309
&& size_10000/random_tree_5 951.960065 578498
&& size_10000/random_tree_6 411.676250 220175
&& size_10000/random_tree_7 833.913247 160383
&& size_10000/random_tree_8 377.791907 233857
&& size_10000/random_tree_9 774.904871 177121
&& size_2000/random_tree_1 365.289356 40715
&& size_2000/random_tree_10 471.618491 36990
&& size_2000/random_tree_2 405.625408 33757
&& size_2000/random_tree_3 518.059676 19372
&& size_2000/random_tree_4 216.332816 27849
&& size_2000/random_tree_5 468.064994 12605
&& size_2000/random_tree_6 411.132619 44814
&& size_2000/random_tree_7 578.157237 21953
&& size_2000/random_tree_8 551.843726 18099
&& size_2000/random_tree_9 289.033465 42805
&& size_20000/random_tree_1 723.227488 511834
&& size_20000/random_tree_2 795.785895 727097
&& size_20000/random_tree_3 788.645009 613509
&& size_20000/random_tree_4 1072.559057 715491
&& size_20000/random_tree_5 585.006359 520029
&& size_30000/random_tree_1 1004.618102 1157620
&& size_30000/random_tree_2 1403.200244 1348860
&& size_30000/random_tree_3 955.446226 1140105
&& size_30000/random_tree_4 1315.087037 1519074
&& size_30000/random_tree_5 1144.838929 1326830
&& size_4000/random_tree_1 388.316612 181256
&& size_4000/random_tree_10 596.024084 46297
&& size_4000/random_tree_2 461.171340 74634
&& size_4000/random_tree_3 650.310661 175111
&& size_4000/random_tree_4 681.699277 59018
&& size_4000/random_tree_5 640.941586 138778
&& size_4000/random_tree_6 615.008596 169667
&& size_4000/random_tree_7 456.804497 42532
&& size_4000/random_tree_8 276.462416 49041
&& size_4000/random_tree_9 524.856602 64699
&& size_50000/random_tree_1 1247.641865 3273096
