small with extra output
2-level
heterogeneous
&& tree_15 2245.123210 58
&& ./size_20000/random_tree_1_20000 5765.229018 681559
&& ./size_20000/random_tree_11_20000 11371.830631 559575
&& ./size_20000/random_tree_0_20000 10572.381314 542862
&& ./size_20000/random_tree_2_20000 6542.582967 874592
&& ./size_20000/random_tree_3_20000 5277.353009 626989
&& ./size_20000/random_tree_4_20000 5958.926822 726515
&& ./size_4000/random_tree_8_4000 3676.017258 171383
&& ./size_4000/random_tree_7_4000 5130.517753 129053
&& ./size_4000/random_tree_6_4000 5227.099594 271514
&& ./size_4000/random_tree_5_4000 5761.062211 95691
&& ./size_10000/random_tree_9_10000 8501.584463 1358034
&& ./size_10000/random_tree_10_10000 9570.126127 472572
&& ./size_50000/random_tree_13_50000 11646.568809 3675852
&& ./size_50000/random_tree_11_50000 11748.335387 4042888
&& ./size_50000/random_tree_14_50000 8399.003534 3468716
&& ./size_50000/random_tree_10_50000 7376.035103 4021376
&& ./size_50000/random_tree_12_50000 9938.920235 3787583
&& ./size_2000/random_tree_4_2000 4552.592169 56823
&& ./size_2000/random_tree_1_2000 2562.512447 13458
&& ./size_2000/random_tree_2_2000 2162.036456 42071
&& ./size_2000/random_tree_3_2000 5184.156397 80739
&& ./size_30000/random_tree_9_30000 9142.624051 1350999
&& ./size_30000/random_tree_6_30000 8521.735818 1583594
&& ./size_30000/random_tree_5_30000 7298.683065 1842978
&& ./size_30000/random_tree_7_30000 9032.298842 1477974
&& ./size_30000/random_tree_8_30000 12416.026598 1282819
&& ./size_30000/random_tree_8_30000 12416.026598 1280815
homogeneous many small
terminate called after throwing an instance of 'nlohmann::detail::parse_error'
  what():  [json.exception.parse_error.101] parse error at line 1, column 1: syntax error while parsing value - unexpected end of input; expected '[', '{', or a literal
/work/kulagins/tree-scheduler/runscript-randomtrees.sh: Zeile 7: 2395764 Abgebrochen             (Speicherabzug geschrieben) ./main ./real_Trees/random_trees/old_trees/ treesList.txt 0 0 1 -1 1 ./cluster-hom-27proc-1.json
homogeneous few big
&& tree_15 2245.123210 56
&& ./size_20000/random_tree_1_20000 6245.374770 627078
&& ./size_20000/random_tree_11_20000 11959.192604 567235
&& ./size_20000/random_tree_0_20000 10908.672630 617935
&& ./size_20000/random_tree_2_20000 7129.249843 943298
&& ./size_20000/random_tree_3_20000 5762.283451 670491
&& ./size_20000/random_tree_4_20000 6517.452558 779679
&& ./size_4000/random_tree_8_4000 3676.017258 171280
&& ./size_4000/random_tree_7_4000 5130.517753 129055
&& ./size_4000/random_tree_6_4000 5227.099594 271182
&& ./size_4000/random_tree_5_4000 5761.062211 96138
&& ./size_10000/random_tree_9_10000 8501.584463 1354170
&& ./size_10000/random_tree_10_10000 9570.126127 473102
&& ./size_50000/random_tree_13_50000 12726.126983 3656051
&& ./size_50000/random_tree_11_50000 12653.275950 4293447
&& ./size_50000/random_tree_14_50000 9543.483001 3847686
&& ./size_50000/random_tree_10_50000 8157.124107 4988460
&& ./size_50000/random_tree_12_50000 10460.533260 4148306
&& ./size_2000/random_tree_4_2000 4552.592169 56937
&& ./size_2000/random_tree_1_2000 2562.512447 13631
&& ./size_2000/random_tree_2_2000 2162.036456 42163
&& ./size_2000/random_tree_3_2000 5184.156397 80957
&& ./size_30000/random_tree_9_30000 10502.256506 1395249
&& ./size_30000/random_tree_6_30000 9193.081795 1874479
&& ./size_30000/random_tree_5_30000 7834.594855 1891342
&& ./size_30000/random_tree_7_30000 10068.670173 1747672
&& ./size_30000/random_tree_8_30000 13074.634790 1340217
&& ./size_30000/random_tree_8_30000 13074.634790 1341385
3-level
heterogeneous
&& tree_15 2245.123210 57
&& ./size_20000/random_tree_1_20000 5765.229018 684015
&& ./size_20000/random_tree_11_20000 11371.830631 558075
&& ./size_20000/random_tree_0_20000 10572.381314 544135
&& ./size_20000/random_tree_2_20000 6542.582967 874594
&& ./size_20000/random_tree_3_20000 5277.353009 630431
&& ./size_20000/random_tree_4_20000 5958.926822 729440
&& ./size_4000/random_tree_8_4000 3676.017258 171690
&& ./size_4000/random_tree_7_4000 5130.517753 129901
&& ./size_4000/random_tree_6_4000 5227.099594 272164
&& ./size_4000/random_tree_5_4000 5761.062211 96316
&& ./size_10000/random_tree_9_10000 8501.584463 1354729
&& ./size_10000/random_tree_10_10000 9570.126127 473678
&& ./size_50000/random_tree_13_50000 11646.568809 3685877
&& ./size_50000/random_tree_11_50000 11748.335387 4062545
&& ./size_50000/random_tree_14_50000 8399.003534 3474857
&& ./size_50000/random_tree_10_50000 7376.035103 4026424
&& ./size_50000/random_tree_12_50000 9938.920235 3792306
&& ./size_2000/random_tree_4_2000 4552.592169 56736
&& ./size_2000/random_tree_1_2000 2562.512447 13410
&& ./size_2000/random_tree_2_2000 2162.036456 41997
&& ./size_2000/random_tree_3_2000 5184.156397 80644
&& ./size_30000/random_tree_9_30000 9142.624051 1350912
&& ./size_30000/random_tree_6_30000 8521.735818 1582300
&& ./size_30000/random_tree_5_30000 7298.683065 1838983
&& ./size_30000/random_tree_7_30000 9032.298842 1478631
&& ./size_30000/random_tree_8_30000 12416.026598 1279886
&& ./size_30000/random_tree_8_30000 12416.026598 1281767
homogeneous many small
